Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,29.110001,29.200001,28.900000,28.930000,24.569727,112100
2016-03-08,28.870001,29.450001,28.870001,29.200001,24.799032,191700
2016-03-09,29.230000,29.450001,29.049999,29.270000,24.858482,184300
2016-03-10,29.299999,29.500000,28.950001,29.160000,24.765060,123900
2016-03-11,29.260000,29.420000,29.110001,29.200001,24.799032,146300
2016-03-14,29.000000,29.420000,28.950001,29.379999,24.951897,187900
2016-03-15,29.280001,29.540001,29.190001,29.469999,25.028336,175500
2016-03-16,29.500000,29.790001,29.389999,29.709999,25.232162,132900
2016-03-17,29.719999,29.990000,29.580000,29.629999,25.164228,127100
2016-03-18,29.660000,29.770000,29.180000,29.200001,24.799032,412200
2016-03-21,29.200001,29.400000,29.100000,29.200001,24.799032,134300
2016-03-22,29.100000,29.270000,28.889999,28.940001,24.578222,143100
2016-03-23,28.959999,29.020000,28.500000,28.709999,24.382879,752300
2016-03-24,28.690001,28.719999,28.410000,28.610001,24.297956,101400
2016-03-28,28.590000,28.740000,28.400000,28.690001,24.365900,110700
2016-03-29,28.639999,28.900000,28.590000,28.700001,24.461359,382900
2016-03-30,28.840000,28.950001,28.540001,28.709999,24.469881,177600
2016-03-31,28.760000,28.889999,28.549999,28.879999,24.614771,239500
2016-04-01,28.799999,29.020000,28.730000,28.879999,24.614771,221100
2016-04-04,28.940001,29.360001,28.940001,29.360001,25.023876,205400
2016-04-05,29.200001,29.410000,29.059999,29.299999,24.972734,142400
2016-04-06,29.330000,29.340000,29.000000,29.270000,24.947176,255800
2016-04-07,29.240000,29.270000,29.000000,29.120001,24.819328,205300
2016-04-08,29.129999,29.410000,28.969999,29.270000,24.947176,165500
2016-04-11,29.290001,29.469999,29.160000,29.280001,24.955698,126200
2016-04-12,29.389999,29.990000,29.299999,29.770000,25.373325,359600
2016-04-13,29.969999,29.969999,29.570000,29.690001,25.305141,178900
2016-04-14,29.709999,30.170000,29.530001,30.090000,25.646072,259500
2016-04-15,30.020000,30.250000,29.730000,29.940001,25.518232,106100
2016-04-18,29.650000,30.200001,29.650000,29.850000,25.441509,202600
2016-04-19,29.820000,30.080000,29.570000,29.950001,25.526747,127400
2016-04-20,29.950001,29.950001,29.660000,29.840000,25.432997,269100
2016-04-21,29.879999,29.879999,29.270000,29.299999,24.972734,77000
2016-04-22,29.330000,29.490000,29.209999,29.280001,24.955698,72600
2016-04-25,29.209999,29.379999,29.180000,29.299999,24.972734,121100
2016-04-26,29.299999,29.600000,29.299999,29.600000,25.228434,138300
2016-04-27,29.530001,29.879999,29.530001,29.870001,25.546589,174500
2016-04-28,29.760000,29.850000,29.600000,29.809999,25.495277,100200
2016-04-29,29.700001,29.879999,29.580000,29.830000,25.512386,88400
2016-05-02,29.860001,29.990000,29.660000,29.969999,25.632124,84800
2016-05-03,29.950001,29.950001,29.549999,29.760000,25.452517,191400
2016-05-04,29.799999,30.150000,29.780001,29.940001,25.606464,197100
2016-05-05,29.990000,30.559999,29.990000,30.280001,25.897245,180800
2016-05-06,30.420000,30.420000,30.129999,30.200001,25.828821,214600
2016-05-09,30.389999,31.299999,30.260000,31.299999,26.769615,222200
2016-05-10,31.350000,32.130001,31.330000,31.799999,27.197245,321200
2016-05-11,31.809999,31.860001,31.020000,31.059999,26.564350,278200
2016-05-12,31.120001,31.420000,30.799999,30.950001,26.470276,281200
2016-05-13,31.000000,31.160000,30.670000,30.940001,26.461725,117800
2016-05-16,31.000000,31.450001,30.959999,31.420000,26.872246,177900
2016-05-17,31.400000,31.500000,30.770000,30.990000,26.504480,127700
2016-05-18,30.959999,31.139999,30.750000,30.940001,26.461725,127300
2016-05-19,30.900000,30.900000,30.010000,30.520000,26.102510,266500
2016-05-20,30.500000,30.870001,30.500000,30.600000,26.170925,248300
2016-05-24,30.700001,30.700001,29.549999,29.910000,25.580799,612300
2016-05-25,29.889999,30.469999,29.860001,30.150000,25.786064,347800
2016-05-26,30.200001,30.600000,30.139999,30.459999,26.051197,292000
2016-05-27,30.430000,30.799999,30.430000,30.629999,26.284609,235600
2016-05-30,30.850000,30.850000,30.559999,30.770000,26.404749,89400
2016-05-31,30.799999,30.799999,30.309999,30.370001,26.061495,216700
2016-06-01,30.340000,31.000000,30.340000,30.700001,26.344675,209900
2016-06-02,30.660000,30.709999,30.500000,30.620001,26.276024,129700
2016-06-03,30.610001,31.219999,30.610001,31.059999,26.653605,154200
2016-06-06,31.139999,31.200001,30.709999,31.040001,26.636438,128500
2016-06-07,31.090000,31.270000,30.830000,30.969999,26.576370,130000
2016-06-08,31.020000,31.469999,31.020000,31.389999,26.936787,189300
2016-06-09,31.350000,31.350000,30.809999,30.830000,26.456226,148900
2016-06-10,30.750000,31.309999,30.629999,31.230000,26.799486,151600
2016-06-13,31.200001,31.660000,31.080000,31.559999,27.082663,200000
2016-06-14,31.480000,31.709999,31.219999,31.450001,26.988274,238700
2016-06-15,31.450001,31.629999,31.360001,31.559999,27.082663,157100
2016-06-16,31.580000,31.730000,31.450001,31.690001,27.194231,147900
2016-06-17,31.660000,31.670000,31.110001,31.170000,26.747995,316800
2016-06-20,31.240000,31.670000,31.200001,31.500000,27.031189,138000
2016-06-21,31.459999,31.940001,31.410000,31.750000,27.245720,257200
2016-06-22,31.830000,31.950001,31.680000,31.850000,27.331532,93900
2016-06-23,31.920000,31.920000,31.600000,31.650000,27.159903,91500
2016-06-24,31.219999,32.360001,31.100000,32.040001,27.494581,218000
2016-06-27,31.870001,32.500000,31.690001,32.430000,27.829248,197600
2016-06-28,32.349998,32.450001,31.900000,32.139999,27.669115,226000
2016-06-29,32.200001,33.180000,32.110001,33.099998,28.495577,261800
2016-06-30,33.070000,33.279999,32.750000,33.160000,28.547224,249900
2016-07-04,33.580002,33.580002,32.860001,32.930000,28.349222,123200
2016-07-05,32.840000,33.090000,32.810001,32.900002,28.323402,227400
