Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,9.420000,9.530000,9.330000,9.350000,6.487544,152100
2016-03-08,9.400000,9.430000,9.350000,9.430000,6.543050,76000
2016-03-09,9.440000,9.490000,9.440000,9.490000,6.584679,43500
2016-03-10,9.530000,9.580000,9.470000,9.500000,6.591617,96200
2016-03-11,9.540000,9.720000,9.460000,9.620000,6.674883,158300
2016-03-14,9.680000,9.680000,9.480000,9.490000,6.584679,152400
2016-03-15,9.490000,9.680000,9.430000,9.650000,6.695699,157500
2016-03-16,9.680000,9.680000,9.530000,9.620000,6.674883,128900
2016-03-17,9.680000,9.680000,9.600000,9.660000,6.702640,93000
2016-03-18,9.680000,9.680000,9.610000,9.650000,6.695699,60800
2016-03-21,9.650000,9.690000,9.620000,9.680000,6.716518,54100
2016-03-22,9.660000,9.710000,9.620000,9.690000,6.723452,94300
2016-03-23,9.700000,9.700000,9.540000,9.550000,6.626315,97400
2016-03-24,9.600000,9.650000,9.460000,9.590000,6.654069,90900
2016-03-28,9.580000,9.620000,9.550000,9.570000,6.640191,78100
2016-03-29,9.600000,9.640000,9.500000,9.640000,6.735920,59900
2016-03-30,9.650000,9.660000,9.550000,9.630000,6.728931,70900
2016-03-31,9.590000,9.650000,9.560000,9.640000,6.735920,58200
2016-04-01,9.150000,9.240000,9.090000,9.220000,6.442445,788200
2016-04-04,9.270000,9.280000,9.200000,9.230000,6.449433,235100
2016-04-05,9.200000,9.250000,9.190000,9.250000,6.463410,95000
2016-04-06,9.240000,9.250000,9.210000,9.240000,6.456421,150400
2016-04-07,9.240000,9.240000,9.220000,9.230000,6.449433,131900
2016-04-08,9.240000,9.250000,9.230000,9.250000,6.463410,94500
2016-04-11,9.250000,9.340000,9.250000,9.330000,6.519309,179700
2016-04-12,9.350000,9.410000,9.320000,9.330000,6.519309,146700
2016-04-13,9.380000,9.400000,9.350000,9.380000,6.554245,79100
2016-04-14,9.390000,9.400000,9.330000,9.390000,6.561234,131000
2016-04-15,9.350000,9.380000,9.260000,9.360000,6.540271,185400
2016-04-18,9.370000,9.400000,9.300000,9.320000,6.512320,231700
2016-04-19,9.360000,9.370000,9.320000,9.350000,6.533285,122900
2016-04-20,9.300000,9.380000,9.280000,9.330000,6.519309,341700
2016-04-21,9.350000,9.350000,9.310000,9.350000,6.533285,170300
2016-04-22,9.350000,9.390000,9.330000,9.390000,6.561234,71900
2016-04-25,9.400000,9.500000,9.360000,9.460000,6.610147,131500
2016-04-26,9.490000,9.570000,9.460000,9.550000,6.673031,220100
2016-04-27,9.530000,9.580000,9.490000,9.570000,6.734252,125700
2016-04-28,9.570000,9.650000,9.540000,9.620000,6.769436,175600
2016-04-29,9.630000,9.650000,9.550000,9.650000,6.790548,97400
2016-05-02,9.620000,9.630000,9.550000,9.610000,6.762398,86500
2016-05-03,9.600000,9.650000,9.410000,9.650000,6.790548,155000
2016-05-04,9.630000,9.630000,9.510000,9.540000,6.713142,104400
2016-05-05,9.580000,9.630000,9.530000,9.630000,6.776474,92200
2016-05-06,9.600000,9.680000,9.570000,9.670000,6.804623,106900
2016-05-09,9.670000,9.700000,9.630000,9.680000,6.811659,94600
2016-05-10,9.690000,9.750000,9.660000,9.700000,6.825732,107400
2016-05-11,9.760000,9.850000,9.750000,9.770000,6.874989,111900
2016-05-12,9.850000,9.860000,9.720000,9.810000,6.903138,65800
2016-05-13,9.820000,9.820000,9.700000,9.770000,6.874989,119100
2016-05-16,9.800000,9.830000,9.680000,9.700000,6.825732,138300
2016-05-17,9.700000,9.710000,9.560000,9.580000,6.741291,135200
2016-05-18,9.570000,9.660000,9.500000,9.550000,6.720180,173600
2016-05-19,9.560000,9.600000,9.500000,9.530000,6.706105,125200
2016-05-20,9.560000,9.670000,9.520000,9.670000,6.804623,83600
2016-05-24,9.680000,9.710000,9.640000,9.660000,6.797585,95600
2016-05-25,9.700000,9.750000,9.610000,9.650000,6.790548,104700
