Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,26.309999,26.480000,26.209999,26.260000,19.273756,299700
2016-03-08,26.280001,26.360001,26.070000,26.250000,19.266413,313500
2016-03-09,26.260000,26.700001,26.260000,26.570000,19.501278,358400
2016-03-10,26.670000,26.910000,26.500000,26.860001,19.714119,425400
2016-03-11,26.860001,26.959999,26.620001,26.770000,19.648066,369500
2016-03-14,26.799999,26.870001,26.590000,26.870001,19.721468,297200
2016-03-15,26.850000,27.030001,26.650000,26.809999,19.677416,421200
2016-03-16,26.780001,27.430000,26.700001,27.240000,19.993025,756100
2016-03-17,27.360001,27.850000,27.200001,27.620001,20.271944,641000
2016-03-18,27.850000,27.850000,27.100000,27.139999,19.919634,1366000
2016-03-21,27.100000,27.299999,27.049999,27.110001,19.897615,325200
2016-03-22,27.049999,27.150000,26.629999,26.680000,19.582008,451100
2016-03-23,26.709999,26.940001,26.559999,26.709999,19.604029,517900
2016-03-24,26.580000,26.740000,26.219999,26.360001,19.347147,522400
2016-03-28,26.330000,26.549999,26.299999,26.500000,19.449900,324500
2016-03-29,26.400000,26.450001,26.080000,26.170000,19.293612,410900
2016-03-30,26.260000,26.680000,26.240000,26.600000,19.610613,686400
2016-03-31,26.570000,26.780001,26.490000,26.600000,19.610613,1089500
2016-04-01,26.510000,26.730000,26.480000,26.629999,19.632736,291500
2016-04-04,26.959999,27.100000,26.670000,27.080000,19.964487,479200
2016-04-05,26.700001,27.030001,26.700001,26.959999,19.876022,638700
2016-04-06,26.870001,26.950001,26.629999,26.680000,19.669590,463300
2016-04-07,26.680000,26.879999,26.670000,26.750000,19.721203,345700
2016-04-08,26.730000,26.879999,26.709999,26.850000,19.794930,212900
2016-04-11,26.820000,27.049999,26.750000,26.930000,19.853907,322900
2016-04-12,27.049999,27.070000,26.719999,26.719999,19.699083,357700
2016-04-13,26.700001,26.990000,26.700001,26.840000,19.787558,358400
2016-04-14,26.760000,26.900000,26.610001,26.760000,19.728577,319200
2016-04-15,26.770000,26.790001,26.490000,26.629999,19.632736,658700
2016-04-18,26.510000,27.379999,26.510000,27.180000,20.038216,782900
2016-04-19,27.379999,27.620001,27.260000,27.600000,20.347853,750200
2016-04-20,27.379999,27.700001,27.299999,27.379999,20.185673,404300
